x,y,z,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
1.22119,0.390222,1.2732,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.22,0.372236,1.29523,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.24244,0.319372,1.27536,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.27365,0.265201,1.2282,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.29464,0.223671,1.20165,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.32121,0.17556,1.1635,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.35018,0.124529,1.12051,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.35556,0.114811,1.11277,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.39247,0.0334345,1.07446,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.42951,-0.0276966,1.01532,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.4374,-0.0414942,1.00351,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
1.45983,-0.081867,0.971082,-0.351648,-0.806178,1.57889-0.831556,-0.188324,1.39352-0.0759821,0.450109,1.565360.403925,-0.167745,1.75073
